AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Klinika i Lechenie Zlokachestvennykh Novoobrazovanii	Klin. Lech. Zlokach. Novoobraz.	Klin Lech Zlokach Novoobraz	
Klinika Oczna	Klin. Oczna	Klin Oczna	
Klinische Anasthesiologie und Intensivtherapie	Klin. Anasthesiol. Intensivther.	Klin Anasthesiol Intensivther	
Klinische Medizin; Osterreichische Zeitschrift fur Wissenschaftliche und Praktische Medizin	Klin. Med. Osterr. Z. Wiss. Prakt. Med.	Klin Med Osterr Z Wiss Prakt Med	
Klinische Monatsblatter fur Augenheilkunde	Klin. Monatsbl. Augenheilkd.	Klin Monatsbl Augenheilkd	
Klinische Padiatrie	Klin. Padiatr.	Klin Padiatr	
Klinische Wochenschrift	Klin. Wochenschr.	Klin Wochenschr	
Klinisk Sygepleje	Klin. Sygepleje	Klin Sygepleje	
Knee Surgery, Sports Traumatology, Arthroscopy	Knee Surg. Sports Traumatol. Arthrosc.	Knee Surg Sports Traumatol Arthrosc	
Kobe Daigaku Igakubu Kiyo. Medical Journal of Kobe University	Kobe Daigaku Igakubu Kiyo.	Kobe Daigaku Igakubu Kiyo	
Kobe Ika Daigaku Kiyo	Kobe Ika Daigaku Kiyo	Kobe Ika Daigaku Kiyo	
Kobe Journal of Medical Sciences	Kobe J. Med. Sci.	Kobe J Med Sci	
Koku Eisei Gakkai Zasshi	Koku Eisei Gakkai Zasshi	Koku Eisei Gakkai Zasshi	
Kokubyo Gakkai Zasshi. The Journal of the Stomatological Society, Japan	Kokubyo Gakkai Zasshi.	Kokubyo Gakkai Zasshi	
Kokuritsu Iyakuhin Shokuhin Eisei Kenkyusho Hokoku	Kokuritsu Iyakuhin Shokuhin Eisei Kenkyusho Hokoku	Kokuritsu Iyakuhin Shokuhin Eisei Kenkyusho Hokoku	
Kokyu to Junkan. Respiration and Circulation	Kokyu To. Junkan.	Kokyu To Junkan	Kokyu to Junkan. Respiration & Circulation
Korean Journal of Internal Medicine	Korean J. Intern. Med.	Korean J Intern Med	
Korean Journal of Ophthalmology	Korean J. Ophthalmol.	Korean J Ophthalmol	
Korean Journal of Parasitology	Korean J. Parasitol.	Korean J Parasitol	
Kosmicheskaia Biologiia i Aviakosmicheskaia Meditsina	Kosm. Biol. Aviakosm. Med.	Kosm Biol Aviakosm Med	
Kosmicheskaia Biologiia i Meditsina	Kosm. Biol. Med.	Kosm Biol Med	
Krankenpflege	Krankenpflege (Frankf).	Krankenpflege (Frankf)	
Krankenpflege Journal	Krankenpfl. J.	Krankenpfl J	
Krankenpflege. Soins Infirmiers	Krankenpfl. Soins Infirm.	Krankenpfl Soins Infirm	
Krankenschwester	Krankenschwester	Krankenschwester	
Krebsarzt	Krebsarzt	Krebsarzt	
Krebsforschung und Krebsbekampfung	Krebsforsch. Krebsbekampf.	Krebsforsch Krebsbekampf	
Kritiek	Kritiek	Kritiek	
Kroc Foundation Series	Kroc Found. Ser.	Kroc Found Ser	
Kumamoto Igakkai Zasshi. Journal of the Kumamoto Medical Society	Kumamoto Igakkai Zasshi.	Kumamoto Igakkai Zasshi	
Kumamoto Medical Journal	Kumamoto Med. J.	Kumamoto Med J	
Kurinikaru Sutadi. Clinical Study	Kurinikaru Sutadi.	Kurinikaru Sutadi	
Kurume Medical Journal	Kurume Med. J.	Kurume Med J	
KY Reports	KY Rep.	KY Rep	
Kybernetik	Kybernetik	Kybernetik	
Kyobu Geka. Japanese Journal of Thoracic Surgery	Kyobu Geka.	Kyobu Geka	
Kyoto Daigaku Kokukagaku Kiyo. Bulletin of Stomatology, Kyoto University	Kyoto Daigaku Kokukagaku Kiyo.	Kyoto Daigaku Kokukagaku Kiyo	
Kyushu Journal of Medical Science	Kyushu J. Med. Sci.	Kyushu J Med Sci	
Labor Law Journal	Labor Law J.	Labor Law J	
Laboratorio	Laboratorio	Laboratorio	
Laboratornoe Delo	Lab. Delo	Lab Delo	
Laboratory and Research Methods in Biology and Medicine	Lab. Res. Methods Biol. Med.	Lab Res Methods Biol Med	Laboratory & Research Methods in Biology & Medicine
Laboratory Animal Care	Lab. Anim. Care	Lab Anim Care	
Laboratory Animal Science	Lab. Anim. Sci.	Lab Anim Sci	
Laboratory Animals	Lab. Anim.	Lab Anim	
Laboratory Investigation	Lab. Invest.	Lab Invest	
Laboratory Practice	Lab. Pract.	Lab Pract	
Lahey Clinic Foundation Bulletin	Lahey Clin. Found. Bull.	Lahey Clin Found Bull	
Lakartidningen	Lakartidningen	Lakartidningen	
Lamp	Lamp	Lamp	
Lampada	Lampada	Lampada	
Lancet	Lancet	Lancet	
Landarzt	Landarzt	Landarzt	
Langenbecks Archiv fur Chirurgie	Langenbecks Arch. Chir.	Langenbecks Arch Chir	
Langenbecks Archiv fur Chirurgie. Supplement II. Verhandlungen der Deutschen Gesellschaft fur Chirurgie	Langenbecks Arch. Chir. Suppl. II. Verh. Dtsch. Ges. Chir.	Langenbecks Arch Chir Suppl II Verh Dtsch Ges Chir	
Langenbecks Archiv fur Chirurgie. Supplement. Kongressband	Langenbecks Arch. Chir. Suppl. Kongressbd.	Langenbecks Arch Chir Suppl Kongressbd	
Langenbecks Archives of Surgery	Langenbecks Arch. Surg.	Langenbecks Arch Surg	
Language and Speech	Lang. Speech	Lang Speech	Language & Speech
LARC Medical	LARC Med.	LARC Med	
Laryngo- Rhino- Otologie	Laryngorhinootologie.	Laryngorhinootologie	
Laryngologie, Rhinologie, Otologie	Laryngol. Rhinol. Otol. (Stuttg).	Laryngol Rhinol Otol (Stuttg)	
Laryngoscope	Laryngoscope	Laryngoscope	
Lasers in Surgery and Medicine	Lasers Surg. Med.	Lasers Surg Med	Lasers in Surgery & Medicine
Lasers in Surgery and Medicine. Supplement	Lasers Surg. Med. Suppl.	Lasers Surg Med Suppl	Lasers in Surgery & Medicine. Supplement
Lattante	Lattante	Lattante	
Laundry News	Laund. News	Laund News	
Laval Medical	Laval Med.	Laval Med	
Lavori dell Istituto di Anatomia e Istologia Patologica, Universita Degli Studi Perugia	Lav. Ist. Anat. Istol. Patol. Univ. Studi Perugia	Lav Ist Anat Istol Patol Univ Studi Perugia	
Lavoro Umano	Lav. Um.	Lav Um	
Law and Contemporary Problems	Law Contemp. Probl.	Law Contemp Probl	Law & Contemporary Problems
Law and Human Behavior	Law Hum. Behav.	Law Hum Behav	Law & Human Behavior
Law and the Human Genome Review	Law Hum. Genome Rev.	Law Hum Genome Rev	Law & the Human Genome Review
Law, Medicine and Health Care	Law. Med. Health Care	Law Med Health Care	Law, Medicine & Health Care
LDA Journal	LDA J.	LDA J	
Leadership in Health Services	Leadersh. Health Serv.	Leadersh Health Serv	
League Exchange	League Exch.	League Exch	
League Lines	League Lines	League Lines	
Learning and Memory	Learn. Mem.	Learn Mem	Learning & Memory
Learning and Motivation	Learn. Motiv.	Learn Motiv	Learning & Motivation
Learning Curve	Learn. Curve	Learn Curve	
Lebensversicherungs Medizin	Lebensversicher. Med.	Lebensversicher Med	
Leber, Magen, Darm	Leber. Magen. Darm	Leber Magen Darm	
Leeds Dental Journal	Leeds Dent. J.	Leeds Dent J	
Legal Aspects of Medical Practice	Leg. Aspects Med. Pract.	Leg Aspects Med Pract	
Legal Medical Quarterly	Leg. Med. Q.	Leg Med Q	
Legal Medicine	Leg. Med.	Leg Med	
Legal Medicine Annual	Leg. Med. Annu.	Leg Med Annu	
Lekarska Veda V Zahranici	Lek. Veda Zahr.	Lek Veda Zahr	
Lekarske Prace	Lek. Pr.	Lek Pr	
Lens and Eye Toxicity Research	Lens Eye Toxic. Res.	Lens Eye Toxic Res	Lens & Eye Toxicity Research
Leprosy in India	Lepr. India	Lepr India	
Leprosy Review	Lepr. Rev.	Lepr Rev	
Letters in Applied Microbiology	Lett. Appl. Microbiol.	Lett Appl Microbiol	
Leukemia	Leukemia	Leukemia	
Leukemia and Lymphoma	Leuk. Lymphoma	Leuk Lymphoma	Leukemia & Lymphoma
Leukemia Research	Leuk. Res.	Leuk Res	
Library Journal	Libr. J.	Libr J	
Library Resources and Technical Services	Libr. Resources Tech. Serv.	Libr Resources Tech Serv	Library Resources & Technical Services
Library Technology Reports	Libr. Technol. Rep.	Libr Technol Rep	
Life Sciences	Life Sci.	Life Sci	
Life Sciences. Part 1. Physiology and Pharmacology	Life Sci. I.	Life Sci I	Life Sciences. Part 1. Physiology & Pharmacology
Life Sciences. Part 2. Biochemistry, General and Molecular Biology	Life Sci. II.	Life Sci II	Life Sciences. Part 2. Biochemistry, General & Molecular Biology
Life Support Systems	Life Support Syst.	Life Support Syst	
Life-Threatening Behavior	Life. Threat. Behav.	Life Threat Behav	
Lifelong Learning. The Adult Years	Lifelong Learn. Adult Years	Lifelong Learn Adult Years	
Lifetime Data Analysis	Lifetime Data Anal.	Lifetime Data Anal	
Ligament	Ligament	Ligament	
Lijecnicki Vjesnik	Lijec. Vjesn.	Lijec Vjesn	
Likarska Sprava	Lik. Sprava	Lik Sprava	
Lille Chirurgical	Lille Chir.	Lille Chir	
Lille Medical	Lille Med.	Lille Med	
Lin Chuang Erh Pi Yen Hou Ko Tsa Chih :Journal of Clinical Otorhinolaryngology	Lin Chuang Erh Pi Yen Hou Ko Tsa Chih	Lin Chuang Erh Pi Yen Hou Ko Tsa Chih	
Linen Supply News	Linen Supply News	Linen Supply News	
Lipids	Lipids	Lipids	
Lippincott Health Promotion Letter	Lippincott Health Promot. Lett.	Lippincott Health Promot Lett	
Lippincotts Primary Care Practice	Lippincotts Prim. Care Pract.	Lippincotts Prim Care Pract	
Literature and Medicine	Lit. Med.	Lit Med	Literature & Medicine
Liver	Liver	Liver	
Liver Transplantation and Surgery	Liver Transpl. Surg.	Liver Transpl Surg	Liver Transplantation & Surgery
Lloydia	Lloydia	Lloydia	
Lmt	Lmt	Lmt	
Log	Log	Log	
Loma Linda University Dentist Magazine	Loma Linda Univ. Dent. Mag.	Loma Linda Univ Dent Mag	
London Clinic Medical Journal	Lond. Clin. Med. J.	Lond Clin Med J	
Long Range Planning	Long Range Plann.	Long Range Plann	
Long Term Care	Long Term Care (Don. Mills).	Long Term Care (Don Mills)	
Long Term Care and Health Services Administration Quarterly	Long Term Care Health Serv. Adm. Q.	Long Term Care Health Serv Adm Q	Long Term Care & Health Services Administration Quarterly
Long Term Care Quarterly	Long Term Care Q.	Long Term Care Q	
Lotta Contro la Tubercolosi	Lotta Contro Tuberc.	Lotta Contro Tuberc	
Luminescence	Luminescence	Luminescence	
Lung	Lung	Lung	
Lung Cancer	Lung Cancer	Lung Cancer	
Lupus	Lupus	Lupus	
Lutte Contre le Cancer	Lutte Cancer	Lutte Cancer	
Lymphokine and Cytokine Research	Lymphokine Cytokine Res.	Lymphokine Cytokine Res	Lymphokine & Cytokine Research
Lymphokine Research	Lymphokine Res.	Lymphokine Res	
Lymphology	Lymphology	Lymphology	
Lyon Chirurgical	Lyon Chir.	Lyon Chir	
Lyon Medical	Lyon Med.	Lyon Med	
Ma Tsui Hsueh Tsa Chi	Ma Tsui Hsueh Tsa Chi	Ma Tsui Hsueh Tsa Chi	
Maandschrift Voor Kindergeneeskunde	Maandschr. Kindergeneeskd.	Maandschr Kindergeneeskd	
Maanedsskrift for Praktisk Laegegerning	Manedsskr. Prakt. Laegegern.	Manedsskr Prakt Laegegern	
Macromolecules	Macromolecules	Macromolecules	
Madjalah Persatuan Dokter Gigi Indonesia. Journal of the Indonesian Dental Association	Madj. Persat. Dokt. Gigi Indones.	Madj Persat Dokt Gigi Indones	
MAGMA	MAGMA	MAGMA	
Magnesium	Magnesium	Magnesium	
Magnesium and Trace Elements	Magnes. Trace Elem.	Magnes Trace Elem	Magnesium & Trace Elements
Magnesium Research	Magnes. Res.	Magnes Res	
Magnetic Resonance Annual	Magn. Reson. Annu.	Magn Reson Annu	
Magnetic Resonance Imaging	Magn. Reson. Imaging	Magn Reson Imaging	
Magnetic Resonance Imaging Clinics of North America	Magn. Reson. Imaging Clin. N. Am.	Magn Reson Imaging Clin N Am	
Magnetic Resonance in Medicine	Magn. Reson. Med.	Magn Reson Med	
Magnetic Resonance Quarterly	Magn. Reson. Q.	Magn Reson Q	
Magyar Traumatologia, Orthopaedia Es Helyreallito Sebeszet	Magy. Traumatol. Orthop. Helyreallito Seb.	Magy Traumatol Orthop Helyreallito Seb	
Magyar Traumatologia, Ortopedia, Kezsebeszet, Plasztikai Sebeszet	Magy. Traumatol. Ortop. Kezseb. Plasztikai Seb.	Magy Traumatol Ortop Kezseb Plasztikai Seb	
Maine Nurse	Maine Nurse	Maine Nurse	
Mainlines	Mainlines	Mainlines	
Majallat Niqabat Attiba Al-Asnnan Al-Urduniyah	Majallat Niqabat Attiba Alasnnan. Alurduniyah.	Majallat Niqabat Attiba Alasnnan Alurduniyah	
Majallat Tibb Al-Asnan Al-Suriyah	Majallat Tibb Alasnan. Alsuriyah.	Majallat Tibb Alasnan Alsuriyah	
Majallat Tibb Al-Famm Al-Suriyah	Majallat Tibb Alfamm. Alsuriyah.	Majallat Tibb Alfamm Alsuriyah	
Major Problems in Clinical Pediatrics	Major Probl. Clin. Pediatr.	Major Probl Clin Pediatr	
Major Problems in Clinical Surgery	Major Probl. Clin. Surg.	Major Probl Clin Surg	
Major Problems in Internal Medicine	Major Probl. Intern. Med.	Major Probl Intern Med	
Major Problems in Obstetrics and Gynecology	Major Probl. Obstet. Gynecol.	Major Probl Obstet Gynecol	Major Problems in Obstetrics & Gynecology
Major Problems in Pathology	Major Probl. Pathol.	Major Probl Pathol	
Malacologia	Malacologia	Malacologia	
Malattie Cardiovascolari	Mal. Cardiovasc.	Mal Cardiovasc	
Malaysian Dental Journal	Malays. Dent. J.	Malays Dent J	
Malaysian Journal of Pathology	Malays. J. Pathol.	Malays J Pathol	
Male Nurses Journal	Male Nurses J.	Male Nurses J	
Mammalia	Mammalia	Mammalia	
Mammalian Genome	Mamm. Genome	Mamm Genome	
Man and Medicine	Man Med.	Man Med	Man & Medicine
Managed Care	Manag. Care	Manag Care	
Managed Care Interface	Manag. Care Interface	Manag Care Interface	
Managed Care Quarterly	Manag. Care Q.	Manag Care Q	
Managed Care Strategies	Manag. Care Strateg.	Manag Care Strateg	
Managed Medicare and Medicaid News	Manag. Medicare Medicaid News	Manag Medicare Medicaid News	Managed Medicare & Medicaid News
Management and Compliance Series	Manag. Compliance Ser.	Manag Compliance Ser	Management & Compliance Series
Management Focus	Manage. Focus	Manage Focus	
Management Review	Manage. Rev.	Manage Rev	
Management World	Manage. World	Manage World	
Manchester Medical Gazette	Manch. Med. Gaz.	Manch Med Gaz	
Manitoba Medical Review	Manit. Med. Rev.	Manit Med Rev	
Marketing Health Services	Mark. Health Serv.	Mark Health Serv	
Maroc Medical	Maroc Med.	Maroc Med	
Marseille Chirurgical	Mars. Chir.	Mars Chir	
Marseille Medical	Mars. Med.	Mars Med	
Maryland Medical Journal	Md. Med. J.	Md Med J	
Maryland Nurse	Md. Nurse	Md Nurse	
Maryland Nursing News	Md. Nurs. News	Md Nurs News	
Maryland State Medical Journal	Md. State Med. J.	Md State Med J	
Mass Spectrometry Reviews	Mass Spectrom. Rev.	Mass Spectrom Rev	
Massachusetts Nurse	Mass. Nurse	Mass Nurse	
Masui. Japanese Journal of Anesthesiology	Masui.	Masui	
Materia Medica Polona	Mater. Med. Pol.	Mater Med Pol	
Materials Management in Health Care	Mater. Manag. Health Care	Mater Manag Health Care	
Maternal-Child Nursing Journal	Matern. Child Nurs. J.	Matern Child Nurs J	
Maternidade e Infancia	Matern. Infanc. (Sao. Paulo).	Matern Infanc (Sao Paulo)	
Maternite	Maternite	Maternite	
Mathematical Biosciences	Math. Biosci.	Math Biosci	
Matrix	Matrix	Matrix	
Matrix Biology	Matrix Biol.	Matrix Biol	
Matrix. Supplement	Matrix. Suppl.	Matrix Suppl	
Maturitas	Maturitas	Maturitas	
Mayan	Mayan	Mayan	
Mayo Clinic Health Letter	Mayo Clin. Health Lett.	Mayo Clin Health Lett	
Mayo Clinic Proceedings	Mayo Clin. Proc.	Mayo Clin Proc	
Mcgill Dental Review	Mcgill Dent. Rev.	Mcgill Dent Rev	
Mcgraw-Hills Medicine and Health	Mcgraw. Hills Med. Health	Mcgraw Hills Med Health	Mcgraw-Hills Medicine & Health
Mcgraw-Hills Washington Report on Medicine and Health	Mcgraw. Hills Wash. Rep. Med. Health	Mcgraw Hills Wash Rep Med Health	Mcgraw-Hills Washington Report on Medicine & Health
MCN; American Journal of Maternal Child Nursing	MCN. Am. J. Matern. Child Nurs.	MCN Am J Matern Child Nurs	
MD	MD	MD	
MD Computing	MD Comput.	MD Comput	
Mead Johnson Symposium on Perinatal and Developmental Medicine	Mead Johnson Symp. Perinat. Dev. Med.	Mead Johnson Symp Perinat Dev Med	Mead Johnson Symposium on Perinatal & Developmental Medicine
Mechanisms of Ageing and Development	Mech. Ageing Dev.	Mech Ageing Dev	Mechanisms of Ageing & Development
Mechanisms of Development	Mech. Dev.	Mech Dev	
Medecine et Audio Vision	Med. Audio Vis.	Med Audio Vis	
Medecine et Chirurgie Digestives	Med. Chir. Dig.	Med Chir Dig	
Medecine et Hygiene	Med. Hyg. (Geneve).	Med Hyg (Geneve)	
Medecine Infantile	Med. Infant. (Paris).	Med Infant (Paris)	
Medecine Interne	Med. Interne	Med Interne	
Medecine Legale et Dommage Corporel	Med. Leg. Dommage Corpor.	Med Leg Dommage Corpor	
Medecine Tropicale	Med. Trop. (Mars).	Med Trop (Mars)	
Mediators of Inflammation	Mediators Inflamm.	Mediators Inflamm	
Medical Affairs	Med. Aff.	Med Aff	
Medical and Biological Engineering	Med. Biol. Eng.	Med Biol Eng	Medical & Biological Engineering
Medical and Biological Engineering and Computing	Med. Biol. Eng. Comput.	Med Biol Eng Comput	Medical & Biological Engineering & Computing
Medical and Biological Illustration	Med. Biol. Illus.	Med Biol Illus	Medical & Biological Illustration
Medical and Pediatric Oncology	Med. Pediatr. Oncol.	Med Pediatr Oncol	Medical & Pediatric Oncology
Medical and Pediatric Oncology. Supplement	Med. Pediatr. Oncol. Suppl.	Med Pediatr Oncol Suppl	Medical & Pediatric Oncology. Supplement
Medical and Veterinary Entomology	Med. Vet. Entomol.	Med Vet Entomol	Medical & Veterinary Entomology
Medical Annals of the District of Columbia	Med. Ann. Dist. Columbia	Med Ann Dist Columbia	
Medical Anthropology	Med. Anthropol.	Med Anthropol	
Medical Anthropology Quarterly	Med. Anthropol. Q.	Med Anthropol Q	
Medical Art	Med. Art	Med Art	
Medical Arts and Sciences	Med. Arts Sci.	Med Arts Sci	Medical Arts & Sciences
Medical Aspects of Human Sexuality	Med. Aspects Hum. Sex.	Med Aspects Hum Sex	
Medical Biology	Med. Biol.	Med Biol	
Medical Bulletin / Veterans Administration	Med. Bull. Vet. Adm.	Med Bull Vet Adm	
Medical Care	Med. Care	Med Care	
Medical Care Research and Review	Med. Care Res. Rev.	Med Care Res Rev	Medical Care Research & Review
Medical Care Review	Med. Care Rev.	Med Care Rev	
Medical Claims Management	Med. Claims Manag.	Med Claims Manag	
Medical Clinics of North America	Med. Clin. North Am.	Med Clin North Am	
Medical Decision Making	Med. Decis. Making	Med Decis Making	
Medical/Dental Journal	Med. Dent. J.	Med Dent J	
Medical Design and Material	Med. Des. Mater.	Med Des Mater	Medical Design & Material
Medical Device Technology	Med. Device Technol.	Med Device Technol	
Medical Dosimetry	Med. Dosim.	Med Dosim	
Medical Economics	Med. Econ.	Med Econ	
Medical Education	Med. Educ.	Med Educ	
Medical Electronics	Med. Electron.	Med Electron	
Medical Electronics and Biological Engineering	Med. Electron. Biol. Eng.	Med Electron Biol Eng	Medical Electronics & Biological Engineering
Medical Engineering and Physics	Med. Eng. Phys.	Med Eng Phys	Medical Engineering & Physics
Medical Group Management	Med. Group Manage.	Med Group Manage	
Medical Group Management Journal	Med. Group Manage. J.	Med Group Manage J	
Medical Gynaecology, Andrology, and Sociology	Med. Gynaecol. Androl. Sociol.	Med Gynaecol Androl Sociol	Medical Gynaecology, &rology, & Sociology
Medical History	Med. Hist.	Med Hist	
Medical History. Supplement	Med. Hist. Suppl.	Med Hist Suppl	
Medical Hypotheses	Med. Hypotheses	Med Hypotheses	
Medical Image Analysis	Med. Image Anal.	Med Image Anal	
Medical Informatics	Med. Inform. (Lond).	Med Inform (Lond)	
